Arguments are...
log_dir: ./test_run
sdf_dir: data/intra_gsm_clean
split_path: data/intra_gsm_clean/splits/split0.npy
n_epochs: 100
warmup_epochs: 2
batch_size: 64
mini_batch: 4
lr: 0.001
num_workers: 2
hidden_dim: 100
depth: 3
n_layers: 2
optimizer: adam
scheduler: plateau
verbose: True

Model parameters are:
node_dim: 26
edge_dim: 2
hidden_dim: 100
depth: 3
n_layers: 2


Optimizer parameters are:
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Scheduler state dict is:
factor: 0.7
min_lrs: [1e-05]
patience: 5
verbose: False
cooldown: 0
cooldown_counter: 0
mode: min
threshold: 0.0001
threshold_mode: rel
best: inf
num_bad_epochs: 0
mode_worse: inf
eps: 1e-08
last_epoch: 0

Starting training...
Parameter Norm: 44.03821010840034	 Gradient Norm: 10.00000278089395	 Loss: 2.4383692741394043
Parameter Norm: 44.04021232919386	 Gradient Norm: 9.999998087910738	 Loss: 1.528045654296875
Parameter Norm: 44.04357281423952	 Gradient Norm: 10.000001058222706	 Loss: 1.2530878782272339
Parameter Norm: 44.04676213851473	 Gradient Norm: 9.263977500849577	 Loss: 1.171882152557373
Parameter Norm: 44.05010468018191	 Gradient Norm: 8.512818289983704	 Loss: 1.1320524215698242
Parameter Norm: 44.05367789548834	 Gradient Norm: 3.3880500561592037	 Loss: 0.6873753070831299
Parameter Norm: 44.0574931205451	 Gradient Norm: 3.4293017030943966	 Loss: 0.6512095928192139
Parameter Norm: 44.0612513032272	 Gradient Norm: 5.322631363256345	 Loss: 0.5600712299346924
Parameter Norm: 44.06512257986261	 Gradient Norm: 4.855491367866708	 Loss: 0.5583521723747253
Parameter Norm: 44.06917909856211	 Gradient Norm: 2.598588585231481	 Loss: 0.560784101486206
Parameter Norm: 44.07327091687942	 Gradient Norm: 2.029195655596915	 Loss: 0.3864118158817291
Parameter Norm: 44.07742586586313	 Gradient Norm: 5.265643672485585	 Loss: 0.45822229981422424
Parameter Norm: 44.0813336543133	 Gradient Norm: 3.5159146237357595	 Loss: 0.46192434430122375
Parameter Norm: 44.08510697488611	 Gradient Norm: 2.6081834059849913	 Loss: 0.3768294155597687
Parameter Norm: 44.08890448745347	 Gradient Norm: 1.7754697575957132	 Loss: 0.34413790702819824
Parameter Norm: 44.092623704874	 Gradient Norm: 5.038862839057422	 Loss: 0.35703572630882263
Parameter Norm: 44.096404497895456	 Gradient Norm: 2.567564181120384	 Loss: 0.2975527346134186
Parameter Norm: 44.10021032074653	 Gradient Norm: 1.4596653446367267	 Loss: 0.29219597578048706
